Date,Location,Age,Count
1/6/1981,PR Headlands,BULL-SA4,1
1/6/1981,PR Headlands,COW,2
1/6/1981,PR Headlands,IMM,2
1/7/1981,PR Headlands,BULL-SA4,3
1/7/1981,PR Headlands,COW,2
1/7/1981,PR Headlands,PUP,1
1/7/1981,PR Headlands,IMM,2
1/8/1981,PR Headlands,BULL-SA4,1
1/8/1981,PR Headlands,SA1-3,2
1/8/1981,PR Headlands,COW,2
1/8/1981,PR Headlands,IMM,2
1/14/1981,PR Headlands,SA1-3,2
1/18/1981,Drakes Beach,SA1-3,1
1/22/1981,Drakes Beach,SA1-3,1
3/31/1981,PR Headlands,SA1-3,1
12/7/1981,PR Headlands,SA1-3,1
12/7/1981,PR Headlands,IMM,1
1/5/1982,PR Headlands,BULL-SA4,1
1/5/1982,PR Headlands,COW,1
1/5/1982,PR Headlands,IMM,2
1/6/1982,PR Headlands,BULL-SA4,3
1/6/1982,PR Headlands,COW,2
1/6/1982,PR Headlands,PUP,1
1/6/1982,PR Headlands,IMM,2
1/7/1982,PR Headlands,BULL-SA4,3
1/7/1982,PR Headlands,COW,2
1/7/1982,PR Headlands,IMM,2
1/7/1982,PR Headlands,UNK,1
1/9/1982,PR Headlands,BULL-SA4,1
1/9/1982,PR Headlands,SA1-3,2
1/9/1982,PR Headlands,COW,2
1/9/1982,PR Headlands,PUP,1
1/9/1982,PR Headlands,IMM,2
1/11/1982,PR Headlands,BULL-SA4,3
1/11/1982,PR Headlands,COW,2
1/11/1982,PR Headlands,IMM,2
2/4/1982,Drakes Beach,SA1-3,1
3/21/1982,PR Headlands,UNK,8
3/23/1982,PR Headlands,UNK,3
11/1/1982,PR Headlands,COW,2
11/1/1982,PR Headlands,IMM,12
11/6/1982,PR Headlands,SA1-3,2
11/30/1982,PR Headlands,IMM,7
12/8/1982,PR Headlands,SA1-3,4
12/8/1982,PR Headlands,UNK,35
12/10/1982,PR Headlands,SA1-3,4
12/28/1982,PR Headlands,UNK,6
1/4/1983,PR Headlands,SA1-3,6
1/19/1983,PR Headlands,BULL-SA4,1
1/19/1983,PR Headlands,COW,5
1/19/1983,PR Headlands,PUP,1
1/20/1983,PR Headlands,SA1-3,1
1/20/1983,PR Headlands,COW,5
1/20/1983,PR Headlands,PUP,1
1/23/1983,PR Headlands,BULL-SA4,1
1/23/1983,PR Headlands,COW,8
1/23/1983,PR Headlands,PUP,1
1/24/1983,PR Headlands,BULL-SA4,1
1/24/1983,PR Headlands,COW,2
