season,day,female count
1995,58,11
1995,62,13
1995,68,13
1995,76,9
1995,85,2
1995,86,1
1995,91,1
1996,39,1
1996,43,2
1996,44,2
1996,47,3
1996,48,3
1996,56,11
1996,59,11
1996,63,11
1996,67,10
1996,93,1
1997,16,1
1997,19,1
1997,23,1
1997,24,1
1997,25,1
1997,28,1
1997,33,1
1997,34,1
1997,36,1
1997,37,1
1997,38,2
1997,39,3
1997,40,3
1997,45,2
1997,49,3
1997,58,8
1997,59,8
1997,62,10
1997,63,10
1997,71,10
1997,75,10
1997,84,8
1997,92,2
1998,30,1
1998,35,1
1998,37,2
1998,39,1
1998,41,2
1998,44,2
1998,50,15
1998,52,20
1998,55,20
1998,58,24
1998,61,29
1998,62,25
1998,65,38
1998,71,53
1998,75,49
1998,77,50
1998,79,41
1998,84,27
1998,86,23
1998,92,11
1998,95,9
1998,99,3
1998,101,1
1998,103,1
1999,38,1
1999,40,4
1999,43,7
1999,45,9
1999,47,10
1999,50,11
1999,52,19
1999,54,26
1999,57,31
1999,59,32
1999,60,42
1999,65,41
1999,66,42
1999,67,42
1999,71,39
1999,73,39
1999,75,34
1999,79,26
1999,81,25
1999,82,24
1999,85,14
1999,87,10
1999,89,7
1999,92,1
1999,94,1
1999,100,1
2000,37,1
2000,39,3
2000,43,6
2000,46,9
2000,51,11
2000,53,19
2000,56,21
2000,60,23
2000,63,25
2000,65,26
2000,68,26
2000,74,24
2000,77,22
2000,79,20
2000,81,15
2000,83,14
2000,86,9
2000,89,5
2000,93,4
2000,95,3
2000,100,1
2001,36,2
2001,40,7
2001,43,11
2001,46,15
2001,50,27
2001,53,30
2001,57,37
2001,60,40
2001,63,41
2001,67,41
2001,75,31
2001,78,22
2001,82,14
2001,85,11
2001,89,5
2001,91,3
2001,96,2
2002,34,5
2002,38,9
2002,41,23
2002,45,21
2002,48,34
2002,52,32
2002,55,41
2002,62,37
2002,68,32
2002,73,26
2002,76,17
2002,80,12
2002,83,7
2002,87,4
2002,90,2
2002,94,2
2002,101,1
2003,11,1
2003,17,1
2003,21,2
2003,24,4
2003,31,14
2003,39,32
2003,42,54
2003,47,69
2003,59,94
2003,62,98
2003,65,93
2003,68,86
2003,73,61
2003,76,46
2003,80,29
2003,83,22
2003,87,7
2003,90,4
2004,17,2
2004,30,1
2004,34,10
2004,37,13
2004,41,41
2004,44,50
2004,48,64
2004,51,78
2004,55,85
2004,59,100
2004,61,95
2004,66,86
2004,69,74
2004,73,64
2004,76,46
2004,80,30
2004,86,8
2004,95,3
2004,100,1
2004,107,3
2005,20,1
2005,28,5
2005,31,17
2005,36,33
2005,42,57
2005,45,98
2005,49,117
2005,52,131
2005,57,139
2005,60,143
2005,64,147
2005,66,136
2005,71,110
2005,74,94
2005,78,79
2005,80,52
2005,85,29
2005,92,7
2005,106,3
2006,28,22
2006,35,47
2006,37,68
2006,40,116
2006,44,133
2006,48,188
2006,51,209
2006,55,215
2006,58,203
2006,62,223
2006,65,198
2006,69,150
2006,75,78
2006,78,66
2006,83,30
2006,86,24
2006,91,12
2006,112,11
2007,5,1
2007,19,3
2007,24,4
2007,33,24
2007,36,50
2007,39,71
2007,43,123
2007,47,146
2007,50,195
2007,53,247
2007,57,251
2007,60,272
2007,63,255
2007,67,228
2007,75,170
2007,77,127
2007,82,73
2007,85,39
2007,91,12
2007,98,2
2007,105,6
2007,113,2
2007,119,37
2008,24,3
2008,31,16
2008,40,108
2008,45,159
2008,48,216
2008,53,273
2008,59,292
2008,61,314
2008,63,250
2008,66,219
2008,69,231
2008,77,145
2008,82,65
2008,84,47
2008,87,23
2008,90,15
2008,97,6
2008,103,8
2008,110,1
2009,4,2
2009,23,4
2009,31,23
2009,37,60
2009,45,211
2009,59,286
