season,day,female count
1995,68,2
1995,76,2
1996,47,1
1996,48,2
1996,93,1
1997,28,1
1997,40,1
1997,58,1
1997,62,1
1998,28,1
1998,30,1
1998,35,1
1998,37,2
1998,39,2
1998,41,1
1998,44,1
1998,50,1
1998,52,4
1998,55,3
1998,58,3
1998,61,5
1998,62,3
1998,65,7
1998,71,5
1998,75,12
1998,77,7
1998,79,11
1998,84,8
1998,86,5
1998,92,2
1998,95,2
1998,99,1
1999,40,1
1999,43,1
1999,47,1
1999,50,4
1999,52,4
1999,54,4
1999,57,5
1999,59,5
1999,60,6
1999,65,6
1999,66,6
1999,67,7
1999,71,7
1999,73,6
1999,75,5
1999,79,3
1999,81,3
1999,82,3
1999,85,2
1999,87,1
1999,89,1
1999,92,1
1999,94,1
1999,100,1
2000,43,1
2000,51,2
2000,53,3
2000,56,3
2000,60,4
2000,63,7
2000,65,7
2000,68,7
2000,74,6
2000,77,6
2000,79,5
2000,81,5
2000,83,5
2000,86,3
2000,89,1
2000,93,1
2000,95,1
2001,43,5
2001,46,7
2001,50,5
2001,53,8
2001,57,11
2001,60,10
2001,63,11
2001,67,11
2001,75,7
2001,78,4
2001,82,3
2001,85,2
2001,89,1
2002,34,2
2002,38,1
2002,41,4
2002,45,6
2002,48,10
2002,52,8
2002,55,8
2002,62,10
2002,68,8
2002,73,6
2002,76,5
2002,80,3
2002,83,2
2002,87,3
2002,90,2
2002,101,1
2003,21,1
2003,24,1
2003,31,2
2003,39,6
2003,42,13
2003,47,19
2003,59,26
2003,62,21
2003,65,24
2003,68,20
2003,73,10
2003,76,9
2003,80,5
2003,83,3
2003,87,2
2004,30,1
2004,34,1
2004,37,3
2004,41,9
2004,44,11
2004,48,16
2004,51,18
2004,55,22
2004,59,21
2004,61,19
2004,66,18
2004,69,16
2004,73,11
2004,76,10
2004,80,3
2004,86,2
2005,28,1
2005,36,3
2005,42,4
2005,45,8
2005,49,15
2005,52,18
2005,57,29
2005,60,28
2005,64,24
2005,66,23
2005,71,21
2005,74,17
2005,78,15
2005,80,12
2005,85,2
2005,92,1
2005,106,1
2006,28,3
2006,35,8
2006,37,11
2006,40,12
2006,44,18
2006,48,23
2006,51,24
2006,55,30
2006,58,29
2006,62,23
2006,65,21
2006,69,18
2006,75,18
2006,78,11
2006,83,4
2006,86,3
2006,91,3
2007,19,1
2007,24,1
2007,33,2
2007,36,4
2007,39,4
2007,43,7
2007,47,10
2007,50,14
2007,53,19
2007,57,21
2007,60,24
2007,63,21
2007,67,21
2007,75,17
2007,77,16
2007,82,7
2007,85,3
2008,40,7
2008,45,13
2008,48,15
2008,53,19
2008,59,25
2008,61,25
2008,63,24
2008,66,21
2008,69,19
2008,77,12
2008,82,8
2008,84,6
2008,87,3
2009,31,3
2009,37,4
2009,45,11
2009,59,16
2009,61,16
2009,65,15
2009,67,15
2009,73,11
2010,22,1
2010,31,4
2010,36,7
2010,39,11
2010,42,13
2010,45,13
2010,50,39
2010,53,57
2010,57,53
2010,59,59
2010,63,54
2010,67,51
2010,70,42
2010,78,17
2010,81,10
2010,84,7
2010,87,2
2011,14,0
2011,28,1
2011,35,3
2011,37,4
2011,42,9
2011,49,25
2011,51,29
2011,56,29
2011,58,32
2011,63,30
2011,65,30
2011,69,28
2011,72,25
2011,78,14
2011,84,2
2012,26,1
2012,34,3
2012,36,7
2012,42,14
2012,44,14
2012,48,19
2012,50,23
2012,55,37
2012,58,39
2012,62,38
2012,64,35
2012,68,34
2012,71,28
2012,76,22
2012,78,18
2012,85,1
2013,28,1
2013,34,3
2013,39,5
2013,41,10
2013,46,17
2013,48,21
2013,53,24
2013,55,25
2013,60,26
2013,62,24
2013,67,23
2013,69,19
2013,74,16
2013,76,12
2013,81,6
2013,83,4
2014,27,1
2014,31,1
2014,33,1
2014,37,2
2014,40,4
2014,44,16
2014,47,18
2014,52,21
2014,54,23
2014,58,25
2014,61,25
2014,65,24
2014,68,23
2014,72,19
2014,74,16
2014,80,8
2014,82,7
2014,86,3
2014,89,2
2014,96,2
2015,18,1
2015,29,2
2015,37,1
2015,39,3
2015,44,14
2015,46,14
2015,51,22
2015,54,23
2015,58,23
2015,60,26
2015,65,27
2015,72,24
2015,74,19
2015,79,9
2015,81,10
2015,86,8
2015,88,7
2015,94,1
2015,99,1
2016,28,2
2016,36,5
2016,38,4
2016,43,17
2016,45,25
2016,50,35
2016,52,44
2016,57,53
2016,59,52
2016,64,54
2016,66,54
2016,71,34
2016,73,30
2016,78,22
2016,85,5
2016,87,4
2016,94,2
2017,19,1
2017,36,3
2017,40,14
2017,43,17
2017,48,29
2017,50,28
2017,55,51
2017,57,51
2017,62,57
2017,77,46
2017,84,18
2017,91,6
2017,96,2
2018,33,4
2018,42,20
2018,47,28
2018,54,33
2018,57,51
2018,61,54
2018,63,51
2018,68,47
2018,70,41
2018,75,29
2018,77,27
2018,84,11
2018,89,6
2018,97,3
2019,59,62
2019,67,57
2019,73,42
2019,81,19
2019,86,5
