Date,Location,Age,Count
1/6/1981,PRH,BULL-SA4,1
1/6/1981,PRH,COW,2
1/6/1981,PRH,IMM,2
1/7/1981,PRH,BULL-SA4,3
1/7/1981,PRH,COW,2
1/7/1981,PRH,PUP,1
1/7/1981,PRH,IMM,2
1/8/1981,PRH,BULL-SA4,1
1/8/1981,PRH,SA1-3,2
1/8/1981,PRH,COW,2
1/8/1981,PRH,IMM,2
1/14/1981,PRH,SA1-3,2
1/18/1981,NDB,SA1-3,1
1/22/1981,NDB,SA1-3,1
3/31/1981,PRH,SA1-3,1
12/7/1981,PRH,SA1-3,1
12/7/1981,PRH,IMM,1
1/5/1982,PRH,BULL-SA4,1
1/5/1982,PRH,COW,1
1/5/1982,PRH,IMM,2
1/6/1982,PRH,BULL-SA4,3
1/6/1982,PRH,COW,2
1/6/1982,PRH,PUP,1
1/6/1982,PRH,IMM,2
1/7/1982,PRH,BULL-SA4,3
1/7/1982,PRH,COW,2
1/7/1982,PRH,IMM,2
1/7/1982,PRH,UNK,1
1/9/1982,PRH,BULL-SA4,1
1/9/1982,PRH,SA1-3,2
1/9/1982,PRH,COW,2
1/9/1982,PRH,PUP,1
1/9/1982,PRH,IMM,2
1/11/1982,PRH,BULL-SA4,3
1/11/1982,PRH,COW,2
1/11/1982,PRH,IMM,2
2/4/1982,NDB,SA1-3,1
3/21/1982,PRH,UNK,8
3/23/1982,PRH,UNK,3
11/1/1982,PRH,COW,2
11/1/1982,PRH,IMM,12
11/6/1982,PRH,SA1-3,2
11/30/1982,PRH,IMM,7
12/8/1982,PRH,SA1-3,4
12/8/1982,PRH,UNK,35
12/10/1982,PRH,SA1-3,4
12/28/1982,PRH,UNK,6
1/4/1983,PRH,SA1-3,6
1/19/1983,PRH,BULL-SA4,1
1/19/1983,PRH,COW,5
1/19/1983,PRH,PUP,1
1/20/1983,PRH,SA1-3,1
1/20/1983,PRH,COW,5
1/20/1983,PRH,PUP,1
1/23/1983,PRH,BULL-SA4,1
1/23/1983,PRH,COW,8
1/23/1983,PRH,PUP,1
1/24/1983,PRH,BULL-SA4,1
1/24/1983,PRH,COW,2
1/24/1983,PRH,DEADPUP,2
1/27/1983,SB,PUP,1
1/1/1984,PRH,BULL-SA4,1
1/1/1984,PRH,COW,3
1/1/1984,PRH,PUP,1
1/1/1984,PRH,IMM,2
1/2/1984,PRH,BULL-SA4,1
1/2/1984,PRH,SA1-3,4
1/2/1984,PRH,UNK,2
1/13/1984,PRH,BULL-SA4,1
1/13/1984,PRH,COW,2
1/13/1984,PRH,PUP,1
