Year,PRH_Cows,SB_Cows,DB_Cows,Total_Cows,PRH_Lambda,SB_Lambda,DB_Lambda,Total_Lambda
1981,2,0,0,2,NA,NA,NA,NA
1982,2,0,0,2,1.00,NA,NA,1.00
1983,8,0,0,8,4.00,NA,NA,4.00
1984,10,0,0,10,1.25,NA,NA,1.25
1985,16,0,0,16,1.60,NA,NA,1.60
1986,19,0,0,19,1.19,NA,NA,1.19
1987,22,0,0,22,1.16,NA,NA,1.16
1988,30,0,0,30,1.36,NA,NA,1.36
1989,39,0,0,39,1.30,NA,NA,1.30
1990,52,0,0,52,1.33,NA,NA,1.33
1991,79,0,0,79,1.52,NA,NA,1.52
1992,105,0,0,105,1.33,NA,NA,1.33
1993,135,0,0,135,1.29,NA,NA,1.29
1994,154,0,0,154,1.14,NA,NA,1.14
1995,191,2,13,206,1.24,NA,NA,1.34
1996,239,2,11,252,1.25,1.00,0.85,1.22
1997,304,2,10,316,1.27,1.00,0.91,1.25
1998,359,12,53,426,1.18,6.00,5.30,1.35
1999,309,7,34,358,0.86,0.58,0.64,0.84
2000,300,7,23,338,0.97,1.00,0.68,0.94
2001,307,11,41,359,1.02,1.57,1.78,1.06
2002,330,10,35,381,1.07,0.91,0.85,1.06
2003,313,27,79,442,0.95,2.70,2.26,1.16
2004,451,22,68,573,1.44,0.81,0.86,1.30
2005,384,29,97,560,0.85,1.32,1.43,0.98
2006,413,30,150,666,1.08,1.03,1.55,1.19
2007,319,24,145,658,0.77,0.80,0.97,0.99
2008,253,25,230,631,0.79,1.04,1.59,0.96
2009,281,18,172,621,1.11,0.72,0.75,0.98
2010,167,59,465,791,0.59,3.28,2.70,1.27
2011,206,32,338,705,1.23,0.54,0.73,0.89
2012,247,39,368,809,1.20,1.22,1.09,1.15
2013,267,26,335,835,1.08,0.67,0.91,1.03
2014,283,25,330,875,1.06,0.96,0.99,1.05
2015,277,30,313,921,0.98,1.20,0.95,1.05
2016,172,54,454,1038,0.62,1.80,1.45,1.13
2017,43,57,510,1029,0.25,1.06,1.12,0.99
