M,To,sites,Tag.Interaction,tag.recip.ratio,Tag.95CI.lo,Tag.95CI.hi,ML.Interaction,recipient pop,1/ratio,ML.ratio
Pt Reyes,SE Farallon,pore.sefi,0.00,0.0000,0,11.2,1.11,181.00,201.077,0.0061
Pt Reyes,Ano Nuevo,pore.ano,13.30,0.0054,5.5,29.8,0.04,2478.00,98.833,0.0000
Pt Reyes,Piedras Blancas,pore.pb,3.30,0.0012,0.8,16.7,-0.01,2740.00,-16.456,0.0000
SE Farallon,Pt Reyes,sefi.pore,0.00,0.0000,0,17.6,-0.09,529.00,-45.927,-0.0002
SE Farallon,Ano Nuevo,sefi.ano,5.60,0.0023,1.3,26,-0.11,2478.00,-273.735,0.0000
SE Farallon,Piedras Blancas,sefi.pb,0.00,0.0000,0,17.6,0.02,2740.00,49.367,0.0000
Ano Nuevo,Pt Reyes,ano.pore,6.50,0.0123,3.3,12.9,0.21,529.00,109.231,0.0004
Ano Nuevo,SE Farallon,ano.sefi,2.80,0.0155,1,7.9,0.50,181.00,91.060,0.0028
Ano Nuevo,Piedras Blancas,ano.pb,0.90,0.0003,0.2,5.1,0.09,2740.00,244.959,0.0000
Piedras Blancas,Pt Reyes,pb.pore,12.90,0.0244,7.7,20.8,0.10,529.00,54.497,0.0002
Piedras Blancas,SE Farallon,pb.sefi,15.80,0.0873,10,24.2,-0.95,181.00,-172.003,-0.0053
Piedras Blancas,Ano Nuevo,pb.ano,32.70,0.0132,24.3,42.3,-0.11,2478.00,-272.652,0.0000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
